"miles","passengers","delay","inflight_meal","inflight_entertainment","inflight_wifi","day_of_week","redeye","weekend","coach_price","firstclass_price","hours","new_miles","new_passengers","new_coach_price","new_firstclass_price"
2015,198,9,"No","Yes","Yes","Friday","No","Yes",419.825,1546.77,4,12030,10213,10434.825,11561.77
661,196,8,"No","Yes","Yes","Saturday","No","Yes",443.145,1520,1,10676,10211,10458.145,11535
2291,221,0,"No","Yes","Yes","Sunday","No","Yes",448.705,1589.03,4,12306,10236,10463.705,11604.03
864,208,25,"No","Yes","Yes","Saturday","No","Yes",397.34,1552.48,2,10879,10223,10412.34,11567.48
2458,224,8,"Yes","Yes","Yes","Monday","No","No",309.45,1402.44,4,12473,10239,10324.45,11417.44
823,206,10,"No","Yes","Yes","Saturday","No","Yes",419.255,1605.09,1,10838,10221,10434.255,11620.09
1733,214,9,"No","Yes","Yes","Saturday","No","Yes",401.905,1562.96,3,11748,10229,10416.905,11577.96
2155,216,36,"No","Yes","Yes","Monday","No","No",290.065,1224.53,4,12170,10231,10305.065,11239.53
2379,208,11,"No","Yes","Yes","Friday","No","Yes",477.145,1579.17,4,12394,10223,10492.145,11594.17
1150,200,11,"Yes","Yes","Yes","Sunday","No","Yes",426.75,1508.09,2,11165,10215,10441.75,11523.09
2054,214,8,"No","No","Yes","Friday","No","Yes",365.72,1457.66,4,12069,10229,10380.72,11472.66
2420,210,11,"Yes","No","Yes","Sunday","No","Yes",398.98,1578.69,4,12435,10225,10413.98,11593.69
649,198,9,"Yes","Yes","Yes","Tuesday","No","No",323.215,1218.94,1,10664,10213,10338.215,11233.94
3158,210,13,"No","Yes","Yes","Sunday","No","Yes",462.7,1656.2,6,13173,10225,10477.7,11671.2
2632,200,0,"No","Yes","Yes","Saturday","No","Yes",443.03,1655.17,5,12647,10215,10458.03,11670.17
1361,205,14,"No","Yes","Yes","Thursday","No","No",300.775,1191.08,2,11376,10220,10315.775,11206.08
702,212,12,"Yes","No","Yes","Sunday","No","Yes",305.73,1461.97,1,10717,10227,10320.73,11476.97
2880,207,10,"No","Yes","Yes","Thursday","No","No",359.07,1326.13,5,12895,10222,10374.07,11341.13
1839,197,12,"No","No","Yes","Sunday","No","Yes",360.395,1411.8,3,11854,10212,10375.395,11426.8
2360,213,11,"No","Yes","Yes","Wednesday","No","No",335.77,1299.42,4,12375,10228,10350.77,11314.42
2526,215,8,"Yes","Yes","Yes","Saturday","No","Yes",439.84,1617.53,5,12541,10230,10454.84,11632.53
1979,206,7,"Yes","Yes","No","Friday","No","Yes",363.435,1524.49,4,11994,10221,10378.435,11539.49
777,208,0,"No","Yes","Yes","Monday","No","No",327.405,1191.08,1,10792,10223,10342.405,11206.08
2899,214,8,"Yes","Yes","Yes","Sunday","No","Yes",422.415,1647.97,5,12914,10229,10437.415,11662.97
3873,213,10,"Yes","Yes","Yes","Friday","No","Yes",504.895,1759.91,7,13888,10228,10519.895,11774.91
731,215,11,"No","Yes","Yes","Saturday","No","Yes",392.765,1484.92,1,10746,10230,10407.765,11499.92
2567,211,0,"No","Yes","Yes","Friday","No","Yes",427.225,1568.57,5,12582,10226,10442.225,11583.57
1963,214,10,"No","Yes","Yes","Sunday","No","Yes",407.865,1639.09,4,11978,10229,10422.865,11654.09
1614,193,14,"Yes","Yes","Yes","Monday","No","No",321.41,1309.39,3,11629,10208,10336.41,11324.39
4285,210,13,"No","Yes","Yes","Sunday","No","Yes",459.345,1654.44,8,14300,10225,10474.345,11669.44
668,202,0,"No","Yes","Yes","Wednesday","No","No",275.17,1163.48,1,10683,10217,10290.17,11178.48
916,222,13,"Yes","Yes","Yes","Wednesday","No","No",322.27,1242.19,2,10931,10237,10337.27,11257.19
1999,222,8,"No","Yes","Yes","Monday","No","No",372.855,1295.51,4,12014,10237,10387.855,11310.51
1161,196,11,"No","Yes","Yes","Sunday","No","Yes",395.865,1585.42,2,11176,10211,10410.865,11600.42
3960,200,9,"No","Yes","Yes","Sunday","No","Yes",515.58,1603.78,7,13975,10215,10530.58,11618.78
2229,213,33,"Yes","Yes","Yes","Tuesday","No","No",371.865,1317.33,4,12244,10228,10386.865,11332.33
1136,202,0,"Yes","Yes","Yes","Wednesday","No","No",343.04,1204.96,2,11151,10217,10358.04,11219.96
879,205,9,"No","Yes","Yes","Friday","No","Yes",408.805,1446.22,2,10894,10220,10423.805,11461.22
2606,201,7,"Yes","Yes","Yes","Thursday","No","No",347.27,1289.58,5,12621,10216,10362.27,11304.58
1756,201,14,"No","Yes","Yes","Sunday","No","Yes",373.85,1547.56,3,11771,10216,10388.85,11562.56
2516,212,24,"Yes","Yes","Yes","Sunday","No","Yes",459.09,1599.41,5,12531,10227,10474.09,11614.41
2224,210,13,"No","Yes","No","Saturday","No","Yes",371.55,1485.71,4,12239,10225,10386.55,11500.71
4174,217,12,"Yes","Yes","Yes","Friday","No","Yes",500.72,1624.44,8,14189,10232,10515.72,11639.44
3961,198,11,"No","Yes","Yes","Tuesday","No","No",413.735,1399.65,7,13976,10213,10428.735,11414.65
770,217,11,"No","Yes","Yes","Saturday","No","Yes",388.49,1574.12,1,10785,10232,10403.49,11589.12
2390,202,39,"No","Yes","Yes","Friday","No","Yes",419.73,1546.32,4,12405,10217,10434.73,11561.32
2036,196,8,"Yes","Yes","Yes","Sunday","No","Yes",403.61,1708.01,4,12051,10211,10418.61,11723.01
1559,195,8,"No","Yes","Yes","Saturday","No","Yes",399.185,1590.01,3,11574,10210,10414.185,11605.01
3859,191,0,"Yes","Yes","Yes","Thursday","No","No",402.595,1417.96,7,13874,10206,10417.595,11432.96
