miles,passengers,delay,inflight_meal,inflight_entertainment,inflight_wifi,day_of_week,redeye,weekend,coach_price,firstclass_price,hours
792,172,0,No,Yes,Yes,Sunday,Yes,Yes,338.82,1571.02,1
3163,214,0,No,Yes,Yes,Sunday,No,Yes,472.655,1663.7,6
1832,212,0,No,Yes,No,Friday,No,Yes,351.96,1429.86,3
925,213,0,No,Yes,Yes,Saturday,No,Yes,387.835,1558.76,2
967,217,0,Yes,Yes,Yes,Monday,No,No,374.735,1245.58,2
2076,196,0,Yes,Yes,Yes,Friday,No,Yes,435.67,1623.74,4
1100,214,0,No,Yes,Yes,Wednesday,No,No,270.08,1279.4,2
2012,200,0,Yes,Yes,Yes,Friday,No,Yes,467.29,1687.73,4
1055,203,0,No,Yes,Yes,Sunday,No,Yes,407.955,1468.41,2
1123,204,0,No,No,Yes,Saturday,No,Yes,349.315,1475.21,2
2335,201,0,Yes,Yes,Yes,Sunday,No,Yes,455.265,1622.93,4
620,214,0,Yes,Yes,Yes,Saturday,No,Yes,459.38,1564.92,1
1904,200,0,No,Yes,Yes,Monday,No,No,322.17,1268.59,3
3912,218,0,No,Yes,Yes,Sunday,No,Yes,498.26,1667.08,7
1987,162,0,Yes,Yes,Yes,Saturday,Yes,Yes,357.335,1571.88,4
3964,196,0,No,Yes,Yes,Friday,No,Yes,480.26,1664.51,7
2660,219,0,No,Yes,Yes,Friday,No,Yes,432.29,1620.03,5
802,214,0,No,Yes,Yes,Saturday,No,Yes,399.68,1498.07,1
1929,230,0,Yes,Yes,Yes,Saturday,No,Yes,400.725,1665.11,4
2086,209,0,No,Yes,No,Monday,No,No,268.88,1155.91,4
649,208,0,No,Yes,Yes,Saturday,No,Yes,395.265,1570.79,1
1815,205,0,No,Yes,Yes,Saturday,No,Yes,493.335,1602.07,3
3994,212,0,Yes,Yes,Yes,Wednesday,No,No,399.99,1409.07,7
1963,220,0,Yes,No,Yes,Tuesday,No,No,276.255,1233.27,4
1510,221,0,No,Yes,Yes,Wednesday,No,No,274.7,1265.36,3
783,206,0,No,Yes,Yes,Saturday,No,Yes,437.395,1508.96,1
2885,234,0,No,Yes,Yes,Sunday,No,Yes,405.685,1655.55,5
683,215,0,Yes,Yes,No,Saturday,No,Yes,353.465,1492.78,1
2337,203,0,No,Yes,Yes,Thursday,No,No,291.075,1209.85,4
2278,219,0,No,Yes,Yes,Sunday,No,Yes,452.37,1609.2,4
573,210,0,No,Yes,No,Wednesday,No,No,231.245,1209.27,1
4115,215,0,No,Yes,Yes,Saturday,No,Yes,474.285,1623.15,7
1723,209,0,Yes,Yes,Yes,Tuesday,No,No,334.765,1299.25,3
1144,218,0,No,Yes,No,Tuesday,No,No,278.62,1144.45,2
615,208,0,No,Yes,Yes,Sunday,No,Yes,385.595,1522.16,1
2279,207,0,Yes,Yes,Yes,Saturday,No,Yes,474.485,1599.7,4
2698,206,0,No,Yes,Yes,Wednesday,No,No,368.45,1289.24,5
2664,213,0,No,Yes,Yes,Friday,No,Yes,418.28,1589.84,5
1263,203,0,No,Yes,Yes,Saturday,No,Yes,470.925,1485.4,2
1897,208,0,No,Yes,Yes,Friday,No,Yes,444.185,1620.56,3
1136,202,0,Yes,Yes,Yes,Wednesday,No,No,343.04,1204.96,2
2276,206,0,Yes,Yes,Yes,Sunday,No,Yes,472.49,1609.8,4
3959,199,0,No,Yes,Yes,Sunday,No,Yes,422.095,1696.42,7
2311,198,0,No,Yes,No,Friday,No,Yes,327.005,1516.73,4
2679,207,0,No,Yes,Yes,Saturday,No,Yes,409.595,1546.65,5
2943,222,0,Yes,No,Yes,Saturday,No,Yes,417.855,1593.82,5
2268,210,0,No,No,No,Saturday,No,Yes,315,1402.6,4
1156,209,0,No,No,Yes,Saturday,No,Yes,351.46,1499,2
2270,209,0,Yes,Yes,Yes,Friday,No,Yes,435.6,1578.19,4
654,194,0,Yes,No,Yes,Wednesday,No,No,221.43,1111.76,1
853,208,0,No,Yes,Yes,Sunday,No,Yes,451.645,1464.84,2
2440,224,0,Yes,No,Yes,Thursday,No,No,271.18,1246.28,4
2406,214,0,Yes,Yes,No,Friday,No,Yes,378.07,1560.11,4
2172,212,0,No,Yes,No,Wednesday,No,No,269.78,1216.58,4
794,213,0,Yes,Yes,Yes,Thursday,No,No,305.03,1239.38,1
2651,202,0,Yes,Yes,Yes,Friday,No,Yes,446.935,1649.42,5
1831,198,0,No,Yes,Yes,Saturday,No,Yes,406.135,1572.84,3
2644,219,0,No,Yes,Yes,Sunday,No,Yes,474.62,1604.17,5
1034,177,0,No,Yes,No,Saturday,Yes,Yes,268.7,1431.57,2
1993,203,0,No,Yes,No,Thursday,No,No,273.435,1103.17,4
2202,218,0,No,Yes,Yes,Wednesday,No,No,307.04,1304.37,4
1963,223,0,No,Yes,Yes,Saturday,No,Yes,466.125,1660.55,4
2446,207,0,No,Yes,Yes,Monday,No,No,382.78,1332.99,4
2086,201,0,No,No,Yes,Friday,No,Yes,355.65,1471.48,4
3980,218,0,Yes,No,Yes,Monday,No,No,300.55,1375.82,7
3911,211,0,No,No,Yes,Saturday,No,Yes,452.875,1575.17,7
1061,196,0,Yes,No,Yes,Friday,No,Yes,383.255,1470.18,2
2088,211,0,No,Yes,Yes,Wednesday,No,No,365.52,1267.53,4
1638,217,0,Yes,Yes,Yes,Monday,No,No,320.13,1337.05,3
1831,210,0,Yes,Yes,Yes,Tuesday,No,No,411.625,1203.28,3
1015,211,0,No,No,Yes,Friday,No,Yes,318.965,1489.25,2
1819,204,0,Yes,Yes,Yes,Wednesday,No,No,358.675,1306.34,3
2981,221,0,No,Yes,Yes,Saturday,No,Yes,436.805,1624.85,5
2732,214,0,Yes,Yes,Yes,Wednesday,No,No,395.19,1365.27,5
3922,220,0,No,No,Yes,Tuesday,No,No,360.86,1327.99,7
4182,209,0,Yes,Yes,Yes,Wednesday,No,No,416.32,1441.36,8
662,207,0,Yes,Yes,Yes,Friday,No,Yes,430.33,1508.52,1
2901,222,0,No,No,Yes,Sunday,No,Yes,345.055,1558.86,5
839,218,0,No,Yes,Yes,Saturday,No,Yes,435.965,1494.34,2
2437,210,0,No,No,Yes,Monday,No,No,315.225,1208.03,4
882,172,0,Yes,Yes,Yes,Thursday,Yes,No,297.1,1239.53,2
4158,213,0,No,Yes,Yes,Saturday,No,Yes,474.35,1712.92,8
2593,207,0,No,No,Yes,Sunday,No,Yes,331.515,1501.18,5
1360,225,0,Yes,Yes,Yes,Wednesday,No,No,341.31,1230.86,2
2288,200,0,No,Yes,Yes,Sunday,No,Yes,476.95,1550.81,4
2678,221,0,Yes,Yes,Yes,Thursday,No,No,418.5,1298.52,5
2078,211,0,No,Yes,Yes,Monday,No,No,348.15,1273.37,4
2464,205,0,No,Yes,Yes,Sunday,No,Yes,417.23,1575.31,4
1775,201,0,Yes,Yes,Yes,Sunday,No,Yes,462.495,1609.25,3
3854,149,0,No,No,Yes,Friday,Yes,Yes,291.92,1487.35,7
1892,189,0,No,Yes,Yes,Saturday,No,Yes,414.9,1579.35,3
1904,213,0,No,No,Yes,Saturday,No,Yes,344.32,1479.2,3
2794,198,0,Yes,Yes,Yes,Monday,No,No,407.15,1394.27,5
706,216,0,No,Yes,Yes,Monday,No,No,327.75,1193.36,1
1387,210,0,No,Yes,Yes,Saturday,No,Yes,385.905,1518.84,3
2197,170,0,No,Yes,Yes,Wednesday,Yes,No,311.535,1210.11,4
1922,214,0,No,Yes,Yes,Saturday,No,Yes,433.21,1570.45,3
2681,212,0,Yes,Yes,No,Saturday,No,Yes,401.215,1592.15,5
2367,200,0,No,Yes,Yes,Monday,No,No,329.195,1316.25,4
2399,206,0,No,Yes,Yes,Saturday,No,Yes,493.025,1522.47,4
2740,207,0,Yes,Yes,Yes,Monday,No,No,387.83,1348.82,5
2019,216,0,No,Yes,Yes,Saturday,No,Yes,432.185,1529.13,4
2038,211,0,No,No,Yes,Monday,No,No,303.26,1238.14,4
926,206,0,No,Yes,Yes,Saturday,No,Yes,429.49,1526.21,2
1822,168,0,No,Yes,Yes,Tuesday,Yes,No,274.27,1248.26,3
2397,216,0,No,No,Yes,Monday,No,No,285.115,1217.71,4
1929,200,0,No,Yes,Yes,Friday,No,Yes,486.395,1528.41,4
694,209,0,No,Yes,Yes,Sunday,No,Yes,422.49,1443.26,1
735,207,0,Yes,Yes,Yes,Thursday,No,No,354.605,1269.77,1
512,200,0,No,Yes,Yes,Monday,No,No,295.81,1166.49,1
3729,224,0,No,Yes,Yes,Saturday,No,Yes,430.535,1688.97,7
4269,217,0,No,No,Yes,Sunday,No,Yes,407.125,1614.34,8
486,213,0,No,Yes,Yes,Sunday,No,Yes,375.99,1442.52,1
1289,213,0,Yes,Yes,Yes,Tuesday,No,No,336.755,1287.8,2
1040,212,0,No,Yes,Yes,Monday,No,No,322.51,1213.11,2
718,209,0,Yes,No,Yes,Friday,No,Yes,350.03,1438.38,1
2548,224,0,No,Yes,Yes,Saturday,No,Yes,426.64,1670.7,5
2700,207,0,No,Yes,Yes,Sunday,No,Yes,447.69,1595.1,5
2163,210,0,No,Yes,Yes,Friday,No,Yes,432.395,1518.05,4
1709,219,0,No,Yes,Yes,Friday,No,Yes,450.085,1497.17,3
765,198,0,No,Yes,Yes,Monday,No,No,345.545,1177.96,1
2535,216,0,Yes,Yes,Yes,Wednesday,No,No,428.875,1341.24,5
762,210,0,No,Yes,Yes,Sunday,No,Yes,372.29,1485.47,1
3860,216,0,No,Yes,Yes,Saturday,No,Yes,470,1674.79,7
2221,214,0,No,Yes,Yes,Monday,No,No,380.055,1298.64,4
901,166,0,No,Yes,Yes,Saturday,Yes,Yes,339.775,1515.73,2
643,213,0,Yes,Yes,Yes,Saturday,No,Yes,401.155,1535.37,1
2765,207,0,Yes,No,Yes,Friday,No,Yes,328.625,1572.43,5
516,208,0,No,Yes,Yes,Monday,No,No,258.4,1164.8,1
575,205,0,Yes,No,No,Monday,No,No,221.425,1043.27,1
657,207,0,No,No,No,Wednesday,No,No,119.285,1015.33,1
416,204,0,No,Yes,Yes,Monday,No,No,259.78,1194.99,1
4003,204,0,Yes,Yes,Yes,Saturday,No,Yes,493.105,1716.51,7
1243,207,0,No,Yes,Yes,Saturday,No,Yes,386.335,1493.69,2
833,211,0,Yes,No,Yes,Monday,No,No,217.925,1204.74,2
2228,214,0,No,Yes,No,Friday,No,Yes,360.94,1462.67,4
2461,214,0,No,Yes,Yes,Saturday,No,Yes,440.405,1678.44,4
1828,222,0,No,No,Yes,Saturday,No,Yes,345.45,1512.85,3
904,207,0,No,Yes,Yes,Sunday,No,Yes,404.49,1580.25,2
2879,208,0,Yes,Yes,No,Sunday,No,Yes,404.655,1528.63,5
2301,206,0,No,No,No,Friday,No,Yes,272.025,1457.82,4
588,215,0,No,Yes,Yes,Saturday,No,Yes,436.73,1474.99,1
615,203,0,No,Yes,No,Wednesday,No,No,257.235,1120.96,1
2308,206,0,Yes,Yes,Yes,Friday,No,Yes,462.82,1612.66,4
4098,225,0,No,No,Yes,Saturday,No,Yes,398.37,1613.63,7
1892,213,0,No,Yes,Yes,Saturday,No,Yes,411.2,1573.81,3
